relation,source,target
r_subdomain,Domain_8bd7ac7069aa8b7daafdd567bf0e2eb8c8db3f19373ebd828a3989e2df9da3dc,Domain_ec6c5dc691e616e2c7277ddf03b36cb6fac540ac241e8b0c9388e5b5adc3cc1c
r_cname,Domain_8bd7ac7069aa8b7daafdd567bf0e2eb8c8db3f19373ebd828a3989e2df9da3dc,Domain_e01c17f42e1a41199b7811c6effb0caed00040c008ac6e0b644501b254da767a
r_dns_a,Domain_8bd7ac7069aa8b7daafdd567bf0e2eb8c8db3f19373ebd828a3989e2df9da3dc,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
r_dns_a,Domain_8bd7ac7069aa8b7daafdd567bf0e2eb8c8db3f19373ebd828a3989e2df9da3dc,IP_f9b588fa3410ab89fa0e50b011c9ac8ddfa4a3125ea3df13fa4598faa5e15f8a
r_dns_a,Domain_8bd7ac7069aa8b7daafdd567bf0e2eb8c8db3f19373ebd828a3989e2df9da3dc,IP_36b2ba5b0800d154ef3add5672b7561af9535edd92d2c3323c64880498b45a05
r_cname,Domain_8bd7ac7069aa8b7daafdd567bf0e2eb8c8db3f19373ebd828a3989e2df9da3dc,Domain_9be5aee5cc57eca3293a22003b6e9a8d20afe217956a765930c53837c13f3772
r_cname,Domain_ec6c5dc691e616e2c7277ddf03b36cb6fac540ac241e8b0c9388e5b5adc3cc1c,Domain_e01c17f42e1a41199b7811c6effb0caed00040c008ac6e0b644501b254da767a
r_dns_a,Domain_ec6c5dc691e616e2c7277ddf03b36cb6fac540ac241e8b0c9388e5b5adc3cc1c,IP_400c19e584976ff2a35950659d4d148a3d146f1b71692468132b849b0eb8702c
r_request_jump,Domain_ec6c5dc691e616e2c7277ddf03b36cb6fac540ac241e8b0c9388e5b5adc3cc1c,Domain_8659e9de39a88dc208eae9c4eab0791afd0406142fd7220cac3e7793dc802a43
r_dns_a,Domain_ec6c5dc691e616e2c7277ddf03b36cb6fac540ac241e8b0c9388e5b5adc3cc1c,IP_f9b588fa3410ab89fa0e50b011c9ac8ddfa4a3125ea3df13fa4598faa5e15f8a
r_dns_a,Domain_ec6c5dc691e616e2c7277ddf03b36cb6fac540ac241e8b0c9388e5b5adc3cc1c,IP_36b2ba5b0800d154ef3add5672b7561af9535edd92d2c3323c64880498b45a05
r_cname,Domain_ec6c5dc691e616e2c7277ddf03b36cb6fac540ac241e8b0c9388e5b5adc3cc1c,Domain_9be5aee5cc57eca3293a22003b6e9a8d20afe217956a765930c53837c13f3772
r_subdomain,Domain_e01c17f42e1a41199b7811c6effb0caed00040c008ac6e0b644501b254da767a,Domain_01c3543672af6b0070ead622b73d93619da9a124441a69c287ed0fcc941d62d7
r_cname,Domain_e01c17f42e1a41199b7811c6effb0caed00040c008ac6e0b644501b254da767a,Domain_a45498cc65547bc816a3c83255c02b160d14e4125b039a151d034ea5e8316c90
r_cname,Domain_e01c17f42e1a41199b7811c6effb0caed00040c008ac6e0b644501b254da767a,Domain_037e26b9416b7ad0c0992bb62dd857011760ad59e39e70810e2f7de249cc3061
r_cname,Domain_e01c17f42e1a41199b7811c6effb0caed00040c008ac6e0b644501b254da767a,Domain_677def7b2648c461f1999e3df64aa3dc5785b6aecf695099494523b97521da7b
r_cname,Domain_e01c17f42e1a41199b7811c6effb0caed00040c008ac6e0b644501b254da767a,Domain_b89ca040ed48625c8d66258bb3a15c75e5b149696edf2c2e992a4b5f926dd041
r_cname,Domain_e01c17f42e1a41199b7811c6effb0caed00040c008ac6e0b644501b254da767a,Domain_f6cd8e5757e24624e632006992fe4766fc1888f957d071143fbcc1df988537c4
r_cname,Domain_e01c17f42e1a41199b7811c6effb0caed00040c008ac6e0b644501b254da767a,Domain_16023ca575a5928cae1bedd9cc05931b6ee0b16b89b7d73b92a77edf9ba3504a
r_cname,Domain_e01c17f42e1a41199b7811c6effb0caed00040c008ac6e0b644501b254da767a,Domain_8ae385b7dc3870bbb76e4bd5999d2a6e405d4204764735661c745ef66b52589f
r_cname,Domain_e01c17f42e1a41199b7811c6effb0caed00040c008ac6e0b644501b254da767a,Domain_0452dfc35498e6681d9eac1ad5ac999a65c0dd4968dfe9cf240896220338dd40
r_cname,Domain_e01c17f42e1a41199b7811c6effb0caed00040c008ac6e0b644501b254da767a,Domain_9bc5189957bd5ef0c0f0c78379eb7c48f51986933e8279dc7203294541ce1a2c
r_cname,Domain_e01c17f42e1a41199b7811c6effb0caed00040c008ac6e0b644501b254da767a,Domain_0316d820556f89b3798d4c439e477e32a8714c91ca5363d9797c84a702ca1bb8
r_cname,Domain_e01c17f42e1a41199b7811c6effb0caed00040c008ac6e0b644501b254da767a,Domain_7a8837dcf8280c4829c32e62d4d46e24555eb487d1a6955c68363459861d4b81
r_cname,Domain_e01c17f42e1a41199b7811c6effb0caed00040c008ac6e0b644501b254da767a,Domain_006de3fc33e294584cfd43e82243cf3d34eadf9b88fd3c0e5b123f1d74cbd27e
r_cname,Domain_e01c17f42e1a41199b7811c6effb0caed00040c008ac6e0b644501b254da767a,Domain_8c27567ab453bd078306c765aae3983dfdfd1fc5739fcdb7ab0200e0d063b695
r_cname,Domain_e01c17f42e1a41199b7811c6effb0caed00040c008ac6e0b644501b254da767a,Domain_78fbdf3b2080766aca017c8c63e1784f5768a85bba92729921c41699c3e1257a
r_cname,Domain_e01c17f42e1a41199b7811c6effb0caed00040c008ac6e0b644501b254da767a,Domain_9822654656d0d4a56b718944a75b25906f026dcf249098cba416d12097376f0e
r_cname,Domain_e01c17f42e1a41199b7811c6effb0caed00040c008ac6e0b644501b254da767a,Domain_974f35a551eee9c2493751dbbcacbacce3b47ffe4fe89894917ec903751a8c94
r_cname,Domain_e01c17f42e1a41199b7811c6effb0caed00040c008ac6e0b644501b254da767a,Domain_95e072274e8b95681d49d483dc073db153cc82e411f32a904c0086003b596224
r_cname,Domain_e01c17f42e1a41199b7811c6effb0caed00040c008ac6e0b644501b254da767a,Domain_7ade6883d8dd55480c7bdf7fb5f7eb7ee17a1673aa34c6eb0196e9b17f3bff3f
r_cname,Domain_e01c17f42e1a41199b7811c6effb0caed00040c008ac6e0b644501b254da767a,Domain_dd056c42bb08c5eab0e332b2f4e4c28def535d73d9e33385741dbdbf2d766bcd
r_cname,Domain_e01c17f42e1a41199b7811c6effb0caed00040c008ac6e0b644501b254da767a,Domain_a28d6e656962a87e4b29a5d29fbac5b9eef4910d34cc095b271bd2e14de413bf
r_cname,Domain_e01c17f42e1a41199b7811c6effb0caed00040c008ac6e0b644501b254da767a,Domain_05dcbd2cada6f73557cd1f746ff7523c45daea242d15eb1a52621e6f39bba10b
r_cname,Domain_e01c17f42e1a41199b7811c6effb0caed00040c008ac6e0b644501b254da767a,Domain_fc33e2f86685cde06c13367d8661fad828d278c7994c3a14c36d6f1c2089a50c
r_cname,Domain_e01c17f42e1a41199b7811c6effb0caed00040c008ac6e0b644501b254da767a,Domain_c5a005449bbb359c837ab2ee855ab9ef990d5116bf512c952bfded0b36f42d1b
r_cname,Domain_e01c17f42e1a41199b7811c6effb0caed00040c008ac6e0b644501b254da767a,Domain_19490b592e8afb10f344a061c56e7f469233cd8220b47cacfff492d2dd4d8eec
r_cname,Domain_e01c17f42e1a41199b7811c6effb0caed00040c008ac6e0b644501b254da767a,Domain_fec1e88f3d29ca44e9819d29098cb6f6fef4b63b140bffc07880375ba8265a74
