IP_125130bcfe9c0dbf311aed1de044eee1920c79f853cbb03d403c009f2134cf98,1.0.xxx.xxx,IP,"[]",15,1
Domain_1445090113ee34f43df79e75aa6c87f3c9cd71d384bf2109b7a6fc670236459f,1445090113.com,Domain,"[]",11,1
Cert_f7d37c728a19eebd8cda83a216bfcae62f83e01cc4523de279c725797ef591d1,f7d37c728a,Cert,"[]",9,1
Domain_731cd01e0fd6d5202a352f4ef6be746e89416f91e8e714e0ae4a6fbaff8de8a9,731cd01e0f.com,Domain,"[]",3,0
Domain_f8b3e074e9f773b5c2a33738ef4b67c5902dcfead8e7b416bf5eed93dbe33381,f8b3e074e9.com,Domain,"[]",4,1
Domain_5407d36bef04e48c377d16221507759eea0d1caebaec5d919a94f7827a7b40bc,5407d36bef.com,Domain,"[]",6,1
Domain_93bf8600c676f797e1b44be603d1d8bf6e55cd3988276a6983b2cd076ae090d2,93bf8600c6.com,Domain,"[]",2,0
Domain_f50840a78ac05ea42dec2fbd7991162f9efa23fa8a02896bb7c19370b27ecfca,f50840a78a.com,Domain,"[]",3,1
Domain_27c1db4cce7e70807a134fccdd055c77e9cbe26c6505e090c171a2a6314cd863,27c1db4cce.com,Domain,"[]",2,1
Domain_d093edac9dc06ada53a82fbed5bcffae72399a8f8c043b49480bbbbab4089db3,d093edac9d.com,Domain,"[]",3,1
Domain_016ff61e4b8229d7d8a657ba483e7d531e2d0f6c0fed04c67f6350013341f51e,016ff61e4b.com,Domain,"[]",1,1
Domain_8489e9c134c9bb53a7f9b93e3df2e468b7214ab2d35b207e64bf131f76d92f7a,8489e9c134.com,Domain,"[]",2,0
Domain_bc119c03542414779f498c2ddf5acc3c50b62185055708f856d1b8f09ded8697,bc119c0354.com,Domain,"[]",1,1
Domain_fb0d7ffc4e3abf7c053cebb762cb906d9284e7f51e8c62df884f5594bf7883c3,fb0d7ffc4e.com,Domain,"[G]",1,1
Domain_461c98a4c814d521a782306d62004f29955a73d806917050a02ff8c3c9195160,461c98a4c8.com,Domain,"[]",2,0
Domain_ef7546a9795979a603560f4235a59aa8834567ecb9d5adef638c990904754277,ef7546a979.com,Domain,"[]",2,0
IP_f99d727b358ff8359e0624b41771f4f801e6e83733864c55fef2e353f077f218,154.201.xxx.xxx,IP,"[]",2,1
